name,movie_id
Vincent Robert,75555
Theodore Thomas,42981
Lucas Platt,278939
Ross Kagan Marks,291731
Paul Williams,226229
Robert Wuhl,203119
Roberto Sneider,172923
Jack Baxter,316098
Jefri Aalmuhammed,316098
Andrew Morahan,8011
Michael Corrente,171857
John Carpenter,2654
John G. Avildsen,18069
Jeff Pollack,19092
Barry Sonnenfeld,2758
Thomas Schlamme,38129
Martin Scorsese,10436
Michael Lehmann,13595
Paul Michael Glaser,46094
John Badham,9409
Jonathan Kaplan,11853
Whit Stillman,16771
Bill Forsyth,46924
Penelope Spheeris,11041
John Landis,306
Caroline Thompson,14522
Michael Apted,26203
Stephen Hopkins,178
William Friedkin,19819
Tony Richardson,57834
Abel Ferrara,4722
Jennifer Chambers Lynch,18215
Robert De Niro,1607
Adam Resnick,26391
John Whitesell,117553
Brian De Palma,6075
Paul Weiland,11310
Mick Jackson,18658
Renny Harlin,9350
Steve Barron,9612
Richard Rush,2124
Michael Ritchie,26261
Gregg Champion,19176
Abel Ferrara,49299
Ivan Reitman,11566
Richard Linklater,9571
Marco Brambilla,9739
Bruce Brown,24257
Gus Van Sant,34444
Carl Reiner,26141
Chen Kaige,10997
Donald Petrie,50463
Peter Weir,10443
Rusty Cundieff,20239
Alek Keshishian,16297
Steve Kloves,18551
John Irvin,25440
Barry Sonnenfeld,9024
Sydney Pollack,37233
Simon Wincer,1634
Boaz Yakin,13815
Andrew Davis,5503
Walter Hill,35588
Roger Donaldson,2087
Howard Deutch,41579
Rose Troche,18620
Bruce Beresford,41006
Sidney Lumet,4916
John Woo,2019
Oliver Stone,31642
Jim Abrahams,9255
Julianna Lavin,26271
Christopher Monger,10612
Bille August,2259
Eric Meza,16097
Joel Coen,11934
James L. Brooks,106143
"Daniel Petrie, Jr.",12475
Wolfgang Petersen,9386
Jim Sheridan,7984
Matty Rich,59930
Brian Gibson,15765
Barry Levinson,31643
Stephen Hopkins,6
Steven Spielberg,329
Dominic Sena,10909
Roger Avary,507
Steven Soderbergh,34024
Daniel Petrie,29918
John McTiernan,9593
James Lapine,42580
Simon Wincer,22317
Paul Hogan,22317
Greg Coote,22317
David Cronenberg,1413
Richard Benjamin,12121
Harold Becker,2246
Mel Gibson,10502
Woody Allen,10440
Albert Hughes,9516
Allen Hughes,9516
Stuart Baird,2320
Nagisa Ōshima,5879
Tom Noonan,83718
Kenneth Branagh,11971
Mike Figgis,2625
Anthony Minghella,31911
Chris Columbus,788
Mike Leigh,21450
Christopher Cain,11231
Michael Tolkin,41588
Martin Campbell,10447
Rob Reiner,31586
Sally Potter,9300
Clint Eastwood,9559
Jonathan Demme,9800
Jane Campion,713
John Singleton,8291
David S. Ward,18133
Stuart Orme,25557
Mel Smith,22588
Ted Demme,10872
James Ivory,1245
Penny Marshall,11858
Philip Kaufman,7007
Alan Parker,10467
Fred Dekker,5550
Mel Brooks,8005
Peter Medak,2088
Geoffrey Wright,10412
Victor Nunez,47889
David Anspaugh,14534
Tim Hunter,56583
Cyril Collard,41878
Steven Spielberg,424
Michael Ritchie,35233
Steven Zaillian,14291
Chris Menges,103413
Agnieszka Holland,11236
John Waters,11592
Russell Mulcahy,8850
Richard Attenborough,10445
Robert Altman,695
Gillies MacKinnon,43535
John Duigan,12519
Fred Schepisi,23210
Nora Ephron,858
Phillip Noyce,867
Ridley Scott,78
Steve Rash,13203
Thomas Schlamme,10442
Rowdy Herrington,11074
Arthur Joffé,33367
Annabel Jankel,9607
Rocky Morton,9607
Ernest R. Dickerson,17585
Deran Sarafian,9057
François Girard,20967
Andrew Fleming,10635
Henry Selick,9479
Stephen Herek,10057
George P. Cosmatos,11969
Heywood Gould,41590
Tony Scott,319
D.A. Pennebaker,26408
Chris Hegedus,26408
Joe Johnston,15139
Pixote Hunt,15139
Maurice Hunt,15139
Jerry Ciccoritti,161158
Jennifer Warren,218473
Mark Malone,85247
Todd Solondz,11446
Claude Berri,51980
Dennis Hopper,24405
Guillermo del Toro,11655
Daniel Algrant,11800
Pedro Almodóvar,8223
Gurinder Chadha,14587
Andrew Scheinman,31504
Åke Sandgren,41653
Richard Loncraine,53185
Eva Sereny,95743
Lina Wertmüller,23637
David O. Russell,17600
Penelope Spheeris,10897
Rémy Duchemin,349394
George T. Miller,21352
Ricky Tognazzi,68806
Michael Austin,37345
Rob Epstein,32562
Jeffrey Friedman,32562
Mathieu Kassovitz,47507
Nanni Moretti,25403
María Luisa Bemberg,124304
Betty Thomas,9066
Chris Columbus,771
Jerry Zucker,251
Ron Clements,812
John Musker,812
James Cameron,280
Kevin Costner,581
Steve Cohen,80350
Tim Burton,268
Jonathan Demme,274
David Hand,408
Gary Trousdale,10020
Kirk Wise,10020
Hamilton Luske,10895
Ben Sharpsteen,10895
Garry Marshall,114
Yuri Mamin,41043
Sam Peckinpah,576
C.M. Talkington,15477
Huang Jianxin,59146
Jean Bach,124472
Sam Weisman,30528
Michael Hoffman,7300
Bill Condon,10824
Stephen Poliakoff,261246
Joel Coen,275
David R. Ellis,25059
Gerald Potterton,11827
Kevin Yagher,8766
Joe Chappelle,8766
Matt Reeves,23570
Franco Zeffirelli,47333
Anna Campion,54850
Franco Brusati,51242
Wolfgang Reitherman,10112
Pedro Almodóvar,4307
Fernando Trueba,46029
Bill Couturié,32308
Werner Herzog,88893
André Téchiné,52873
Mika Kaurismäki,340210
Férid Boughedir,44281
Martin Lawrence,28121
Stacy Title,12520
Gregory Hoblit,1592
Clément Virgo,166901
Bruno Barreto,36447
Paul Sabella,19042
Larry Leker,19042
Ken Loach,38884
Hal Salwen,47449
Jonathan R. Betuel,36259
Richard Pearce,41852
Todd Verow,40926
Jonathan Lynn,9099
Tim Sullivan,2021
Spike Lee,61752
Jeremiah S. Chechik,10988
Hervé Palud,11479
Martin Enlen,398959
Carlo Rola,287305
Claude Sautet,12652
Edward Zwick,10684
Brian De Palma,954
Friðrik Þór Friðriksson,68445
Pen Densham,18989
Sönke Wortmann,10801
Park Chul-soo,54285
Rob Cohen,8840
Joseph Vilsmaier,278978
Michael Verhoeven,124625
Steve Rash,11107
Gray Hofmeyr,16417
Richard Wherrett,70934
René Clément,10363
Anthony Hopkins,161070
Henry Selick,10539
James Foley,10543
Kelly Makin,18414
Paul Mazursky,47502
Emir Kusturica,11902
Bo Widerberg,27098
Alan Mehrez,25087
Satyajit Ray,5801
Satyajit Ray,896
Jim Mallon,3065
Joe Pytka,2300
Roger Vadim,8069
Catherine Cyran,288173
Brett Piper,187851
George Hickenlooper,27768
Peter Yates,221917
Jean-Luc Godard,8072
Bertrand Tavernier,35797
Mika Kaurismäki,88030
Claude Chabrol,185191
Gordon Willis,83857
Randal Kleiser,33245
Michael Blakemore,124460
Simon Wincer,27281
Margarethe von Trotta,105045
Richard Benjamin,40001
Norberto Barba,29621
Eli Cohen,117730
Robert Mandel,20762
Pat Verducci,37144
Michael Winterbottom,48260
Steven Baigelman,12656
Zalman King,38867
Barry Caillier,277270
Patrick Read Johnson,25969
Stijn Coninx,44103
John Cassavetes,753
Stacy Cochran,43634
Jean-Claude Van Damme,9103
Mark Joffe,90214
Steve Gomer,29649
Lee Tamahori,10990
Michael Lehmann,8866
George Scribner,12233
Tom DeCerchio,23449
Alan Shapiro,36355
Angela Pope,37667
Betty Kaplan,90148
Jim Jarmusch,922
Jean-Paul Rappeneau,11876
Jack Hill ,52633
Manuel Gómez Pereira,62364
Jean-Marie Poiré,11687
Harold Ramis,9304
Brett Thompson,73183
Francesco Sframeli,131232
Spiro Scimone,131232
Andrew Fleming,9100
Reginald Hudlin,20759
Bruce Beresford,46063
John Schlesinger,32513
Stephen Quay,40651
Timothy Quay,40651
Phil Joanou,36915
Larry Cohen,40507
Michael Bay,9802
Harvey Miller,25697
Michele Soavi,21588
Jan de Bont,664
David Hogan,11867
Maurice Pialat,47119
Gabriel Barylli,314352
Mamoru Oshii,9323
Tom Holland,10280
Rick Friedberg,10535
Udayan Prasad,124613
Nick Park,532
Abraham Polonsky,26744
John Landis,16299
David Twohy,10547
Robert Z. Leonard,245268
Stanley Kubrick,935
Guy Maddin,55613
John Irvin,41007
Kevin James Dobson,35645
Victor Saville,110465
Helena Solberg,255546
Wong Kar-wai,40751
Ebrahim Forouzesh,275096
Freida Lee Mock,85778
Joseph Vilsmaier,11101
Simon Wincer,9826
Andrew Bergman,9879
David Keating,63564
James Mangold,22621
Francis Ford Coppola,7095
Mary Harron,26890
Charles Matthau,46732
Goran Paskaljević,124633
Mwezé Ngangura,202425
Benoît Lamy,202425
Jean-Pierre Bekolo,196940
Djibril Diop Mambéty,77771
Gaston Kaboré,181083
Federico Fellini,41225
Louis Malle,41225
Roger Vadim,41225
Henry Jaglom,188589
Victoria Foyt,188589
Robby Henson,87190
Danny Boyle,627
Scott Winant,32872
Roland Emmerich,602
Bernardo Bertolucci,14553
Tony Scott,9566
Gary Trousdale,10545
Kirk Wise,10545
Ben Stiller,9894
Bobby Farrelly,11543
Peter Farrelly,11543
Chuck Russell,9268
Carma Hinton,52059
Richard Gordon,52059
Tom Shadyac,9327
María Luisa Bemberg,123763
Lucian Pintilie,81949
Gazdag Gyula,42005
Gérard Mordillat,124306
Mel Chionglo,183955
Alexandre Rockwell,44535
Christopher Larkin,44495
Laurent Heynemann  ,78285
Rob Cohen,11228
Peter Jackson,10779
John Sayles,26748
Bronwen Hughes,38223
Jon Turteltaub,9294
Nicole Holofcener,49963
Edward Burns,11363
Joel Schumacher,1645
Michael Corrente,31546
Éric Rohmer,77056
Fraser Clarke Heston,36344
Kevin Hooks,18550
Paul Michael Glaser,11511
Ildikó Enyedi,172198
Howard Franklin,34170
Mitch Marcus,281085
Jaime Hellman,109478
Nicolas Roeg,124645
Arlene Sanford,12606
Maurizio Nichetti,69895
Luis Buñuel,35206
Paul Turner,151489
Éric Rohmer,4837
Peter Sehr,12632
Gernot Roll,12632
Rolf Silber,9098
Peter Weck,282919
Manoel de Oliveira,124614
Steve Barron,18975
John Payson,11962
Hugh Wilson,2925
Nigel Finch,28628
Ron Howard,3595
Hart Bochner,9308
Doug Ellin,92381
Annette Haywood-Carter,18555
Andrew Davis,12123
Danny DeVito,10830
Douglas McGrath,3573
Tim Pope,10546
Harry Winer,18862
Georges Franju,31417
Gilbert Adler,9431
John Rubino,124619
Yin Li,297645
Yim Ho,48144
Hal Hartley,46986
Marcus DeLeon,144982
Lee David Zlotoff,47907
John Carpenter,10061
Tran Anh Hung,36266
Julian Schnabel,549
Ron Shelton,10478
Rolf de Heer,66634
Keisuke Kinoshita,116690
Nicole Garcia,213917
Leone Pompucci,145925
Zheng Jun-Li,100914
Francis Ford Coppola,238
Sönke Wortmann,159
Stanley Tong,11134
Lisa Krueger,88224
Mikio Naruse,132641
Gillies MacKinnon,42758
Lana Wachowski,9303
Lilly Wachowski,9303
Arthur Hiller,23945
John Ruane,37820
Robert Altman,22479
Christopher Cain,9054
Peter Shaner,241058
Tsai Ming-liang,11985
Daniel Schmid,10232
Tim Metcalfe,59569
Izidore K. Musallam,410921
Stanley Tong,38955
Jim McKay,110513
Karim Dridi,114089
Peter Hyams,11015
John Frankenheimer,9306
Richard Stanley,9306
David M. Evans,12559
David Koepp,58770
Gary Winick,124851
Norman Jewison,3587
Ernest R. Dickerson,10723
Nick Hamm,56077
Roy Allen Smith,19004
Theo van Gogh,101230
Joe Chappelle,10987
Trevor Nunn,44705
Keith Gordon,20318
Max Ophüls,43596
Jan Jakub Kolski,79782
André Téchiné,26933
Sam Wood,27854
George Cukor,981
Stanley Donen,872
Gene Kelly,872
Vincente Minnelli,2769
Stanley Donen,13320
Blake Edwards,164
Alfred Hitchcock,426
Alfred Hitchcock,567
Frank Capra,3078
George Cukor,13528
Mark Sandrich,28288
Alfred Hitchcock,213
Billy Wilder,284
Billy Wilder,239
Stanley Donen,4808
Michael Curtiz,289
John Huston,963
George Cukor,11113
Billy Wilder,6620
William Wyler,804
Walter Lang,26531
Vincente Minnelli,909
Victor Fleming,630
Victor Fleming,770
Richard Benjamin,31044
Billy Wilder,599
Orson Welles,15
Stanley Kubrick,62
Mitchell Leisen,121357
Joseph L. Mankiewicz,705
George Cukor,22490
Alfred Hitchcock,223
Alfred Hitchcock,25670
Alfred Hitchcock,303
Alfred Hitchcock,4174
Leo McCarey,8356
Alfred Hitchcock,381
Vincente Minnelli,20758
Vincente Minnelli,29376
Ernst Lubitsch,1859
Billy Wilder,18299
Vincente Minnelli,17281
Vincente Minnelli,64382
Michael Curtiz,10907
William Keighley,10907
Rouben Mamoulian,32093
Otto Preminger,1939
Joseph L. Mankiewicz,22292
Frank Capra,3598
Mark Sandrich,3080
Ernst Lubitsch,198
Gregory La Cava,13562
George Stevens,1712
Elia Kazan,220
W.S. Van Dyke,3529
Howard Hawks,3085
Michael Anderson,2897
Frank Capra,1585
Frank Capra,3083
Howard Hawks,900
George Stevens,43795
Victor Sjöström,85638
William A. Wellman,50001
John Cromwell,43905
Archie Mayo,22688
John Cromwell,23114
Busby Berkeley,26378
Henry Koster,40206
James Edward Grant,22356
Alfred Hitchcock,260
Lewis Milestone,43488
Howard Hawks,22613
Howard Hughes,22613
George A. Romero,10331
John Huston,488
John Huston,22733
Richard Brooks,261
Richard Brooks,57575
Frank Capra,32574
John Cromwell,22657
Victor Schertzinger,76464
Frank Borzage,22649
Edwin L. Marin,176841
Thaddeus O'Sullivan,125587
Corey Yuen Kwai,39448
Darrell James Roodt,52855
Joshua Logan,39940
Chris Newby,172868
Richard Schenkman,85328
Allan Miller,124632
Carroll Ballard,11076
Lance Young,63945
Allison Anders,58985
Joseph Vilsmaier,890
Ringo Lam,10861
Neil Jordan,1770
Amy Holden Jones,44465
Matthew Broderick,2033
Stanley Tucci,18203
Campbell Scott,18203
Walter Hill,9333
Robert M. Young,47260
F. Gary Gray,9400
John Herzfeld,9401
Reb Braddock,12241
René Gainville,25739
John Walsh,161806
Michael Apted,11306
John Gray,9625
Robert Lieberman,10680
James Foley,6346
Norman Tokar,18660
Norman Foster,35115
John Hough,14821
Robert Stevenson,14136
Robert Stevenson,10869
Robert Stevenson,22660
David Swift,19186
David Swift,31102
Duwayne Dunham,6878
Charles Barton,15944
Ken Annakin,18444
Robert Stevenson,20723
Richard Fleischer,173
Jon Turteltaub,864
William Dear,24795
Clyde Geronimi,11224
Wilfred Jackson,11224
Hamilton Luske,11224
Wolfgang Reitherman,81310
William Roberts,15947
Clyde Geronimi,15947
Jack Kinney,15947
Harold Young,15947
Norman Ferguson,15947
Wolfgang Reitherman,9078
Harold D. Schuster,29682
Hamilton Luske,29682
Kevin Reynolds,8367
Robert Stevenson,433
Samuel Armstrong,11360
Ben Sharpsteen,11360
William Roberts,11360
Wilfred Jackson,11360
Jack Kinney,11360
Norman Ferguson,11360
Don Chaffey,11114
Robert Stevenson,12335
Hamilton Luske,12092
Wilfred Jackson,12092
Clyde Geronimi,12092
Ted Berman,10948
Art Stevens,10948
Richard Rich,10948
Matthew Bright,11229
Robert Wise,15121
John McTiernan,562
Brett Leonard,10163
Nick Cassavetes,48862
Iara Lee,117036
Christopher Hampton,47199
Mike Leigh,11159
Tom Hanks,9591
Michael Pressman,30500
James Ivory,41843
Joseph Bologna,55058
Hettie MacDonald,10938
Renny Harlin,11412
Stephen Hopkins,10586
Al Pacino,42314
Steve Buscemi,27845
Ismail Merchant,108365
John McNaughton,23223
Spike Lee,49471
George P. Cosmatos,38153
Michael Winterbottom,25147
Woody Allen,9716
Leon Ichaso,43777
Baz Luhrmann,454
Doug Liman,10218
Barry Levinson,819
Michael Cimino,38191
Scott Silver,56830
Tad Stones,11238
Anthony Asquith,27256
Mark Sandrich,31530
George Stevens,66473
Edward Dmytryk,28120
Edward Dmytryk,1834
Josef von Sternberg,26282
Nicholas Ray,26282
Aaron Kim Johnston,37218
Mel Stuart,252
Jan Bucquoy,116356
Jack Clayton,16372
Woody Allen,11561
Woody Allen,11302
Charles Crichton,623
Terry Jones,583
Blake Edwards,12614
Michael Ritchie,21711
Blake Edwards,11575
Arthur Penn,475
John Sturges,11331
Alfred Hitchcock,521
Frédéric Mitterrand,21202
Emile Ardolino,88
Quentin Tarantino,500
Oliver Stone,792
Ted Kotcheff,8491
Paul Verhoeven,402
Oliver Stone,10537
Neil Jordan,11386
James Foley,9504
Alan J. Pakula,15764
Steven Spielberg,601
Sam Henry Kass,67365
Edwin L. Marin,25842
Tony Scott,2119
Tony Scott,744
Michael Covert,136311
Nicholas Ray,221
Elia Kazan,702
Greg Spence,25750
Hugo Van Lawick,17642
Michael Kreihsl,427043
Temístocles López,146341
Claude Nuridsany,9305
Marie Pérennou,9305
Alan Taylor,37616
Donald Petrie,11112
Abel Ferrara,21612
Chris Cullari,141210
Benoît Jacquot,102461
Jaco Van Dormael,36998
Nils Gaup,200383
Peter Cohn,116844
Miloš Forman,1630
Rich Wilkes,26626
R. J. Cutler,124837
David Van Taylor,124837
Mark Rydell,11816
Blake Edwards,11843
Ate de Jong,10379
James Cameron,2756
John Carpenter,790
John Carpenter,1103
Joe Dante,11298
Claude Berri,4480
Claude Berri,4481
Gustavo Graef-Marino,49688
Howard Zieff,10765
Terry Gilliam,762
Terry Jones,762
Bruce LaBruce,44497
Rick Castro,44497
Russ Hexter,85588
Sharon Pollack,278621
Michael Ray Rhodes,99479
Raúl Ruiz,55049
Susan W. Dryfoos,124829
John L'Ecuyer,356054
Leon Gast,10548
Nick Park,531
Jean-Luc Godard,104931
Daniel Vigne,4483
Jan Švankmajer,18919
Anthony Mann,31556
Alfred L. Werker,31556
Anthony Mann,26167
Anthony Mann,26174
Vittorio De Sica,61461
Jean Delannoy,117500
Norman Z. McLeod,218713
Elliott Nugent,217802
Leo McCarey,127973
Volker Schlöndorff,659
Peter Medak,30892
Martine Dugowson,86369
Jean-Luc Godard,8074
Nina Menkes,124676
Garry Marshall,38554
Eric Red,49763
Barbara Kopple,41326
Cathy Caplan,41326
Tom Haneke,41326
Lawrence Silk,41326
Phillip Rhee,36555
Tim Robbins,10608
Giuseppe Tornatore,11216
Peter Greenaway,7452
Michel Blanc,64567
Jean-Pierre Jeunet,892
Marc Caro,892
Krzysztof Kieślowski,1600
Mike Newell,26561
Stanley Kubrick,975
Stephen Frears,18129
Peter Chelsom,54405
Fred Olen Ray,150823
Anthony Minghella,409
Gabriele Salvatores,38251
Jim Sheridan,10161
Steven Soderbergh,1412
John Sayles,41768
Baz Luhrmann,10409
Errol Morris,14285
Pedro Almodóvar,2469
Alek Keshishian,10174
Mark Aldo Miceli,10174
Jennie Livingston,31225
Miloš Forman,510
Lou Adler,11455
Irvin Kershner,1891
Rob Reiner,2493
